state,zip_code,city,county,territory_code
co,all_others,all_others,custer,113
co,all_others,all_others,delta,111
co,all_others,all_others,denver,114
co,all_others,denver,denver,124
co,all_others,all_others,dolores,111
co,all_others,all_others,douglas,114
co,all_others,all_others,eagle,112
co,all_others,all_others,el_paso,114
co,all_others,colorado_springs,el_paso,134
co,all_others,all_others,elbert,114
co,all_others,all_others,fremont,113
co,all_others,all_others,garfield,112
co,all_others,all_others,gilpin,114
co,all_others,all_others,grand,112
co,all_others,all_others,gunnison,111
co,all_others,all_others,hinsdale,111
co,all_others,all_others,huerfano,113
co,all_others,all_others,jackson,112
co,all_others,all_others,jefferson,114
co,all_others,westminster,jefferson,134
co,all_others,all_others,kiowa,114
co,all_others,all_others,kit_carson,114
co,all_others,all_others,la_plata,111
co,all_others,all_others,lake,112
co,all_others,all_others,larimer,114
co,all_others,fort_collins,larimer,134
co,all_others,all_others,las_animas,113
co,all_others,all_others,lincoln,114
co,all_others,all_others,logan,114
co,all_others,all_others,mesa,111
co,all_others,all_others,mineral,111
co,all_others,all_others,moffat,112
co,all_others,all_others,montezuma,111
co,all_others,all_others,montrose,111
co,all_others,all_others,morgan,114
co,all_others,all_others,otero,114
co,all_others,all_others,ouray,111
co,all_others,all_others,park,112
co,all_others,all_others,phillips,114
co,all_others,all_others,pitkin,112
co,all_others,all_others,prowers,114
co,all_others,all_others,pueblo,113
co,all_others,pueblo,pueblo,133
co,all_others,all_others,rio_blanco,112
co,all_others,all_others,rio_grande,111
co,all_others,all_others,routt,112
co,all_others,all_others,saguache,111
co,all_others,all_others,san_juan,111
co,all_others,all_others,san_miguel,111
co,all_others,all_others,sedgwick,114
co,all_others,all_others,summit,112
co,all_others,all_others,teller,114
co,all_others,all_others,washington,114
co,all_others,all_others,weld,114
co,all_others,greeley,weld,134
co,all_others,all_others,yuma,114
ga,all_others,all_others,appling,113
ga,all_others,all_others,atkinson,113
ga,all_others,all_others,bacon,113
ga,all_others,all_others,baker,113
ga,all_others,all_others,baldwin,113
ga,all_others,all_others,banks,114
ga,all_others,all_others,barrow,114
ga,all_others,all_others,bartow,114
ga,all_others,all_others,ben_hill,113
ga,all_others,all_others,berrien,113
ga,all_others,all_others,bibb,113
ga,all_others,macon,bibb,123
ga,all_others,all_others,bleckley,113
ga,all_others,all_others,brantley,113
ga,all_others,all_others,brooks,113
ga,all_others,all_others,bryan_star,112
ga,all_others,all_others,bulloch,113
ga,all_others,all_others,burke,113
ga,all_others,all_others,butts,114
ga,all_others,all_others,calhoun,113
ga,all_others,all_others,camden,111
ga,all_others,beach_area,camden,112
ga,all_others,all_others,candler,113
ga,all_others,all_others,carroll,114
ga,all_others,all_others,catoosa,114
ga,all_others,all_others,charlton,113
ga,all_others,all_others,chatham,112
ga,all_others,savannah,chatham,122
ga,all_others,beach_area,chatham,111
ga,all_others,all_others,chattahoochee,113
ga,all_others,all_others,chattooga,114
ga,all_others,all_others,cherokee,114
ga,all_others,all_others,clarke,114
ga,all_others,all_others,clay,113
ga,all_others,all_others,clayton,114
ga,all_others,all_others,clinch,113
ga,all_others,all_others,cobb,114
ga,all_others,marietta,cobb,134
ga,all_others,all_others,coffee,113
ga,all_others,all_others,colquitt,113
ga,all_others,all_others,columbia,113
ga,all_others,all_others,cook,113
ga,all_others,all_others,coweta,114
ga,all_others,all_others,crawford,113
ga,all_others,all_others,crisp,113
ga,all_others,all_others,dade,114
ga,all_others,all_others,dawson,114
ga,all_others,all_others,decatur,113
ga,all_others,all_others,dekalb,114
ga,all_others,atlanta,dekalb,124
ga,all_others,decatur,dekalb,124
ga,all_others,all_others,dodge,113
ga,all_others,all_others,dooly,113
ga,all_others,all_others,dougherty,113
ga,all_others,albany,dougherty,133
ga,all_others,all_others,douglas,114
ga,all_others,all_others,early,113
ga,all_others,all_others,echols,113
ga,all_others,all_others,effingham,113
ga,all_others,all_others,elbert,113
ga,all_others,all_others,emanuel,113
ga,all_others,all_others,evans,113
ga,all_others,all_others,fannin,114
ga,all_others,all_others,fayette,114
ga,all_others,all_others,floyd,114
ga,all_others,all_others,forsyth,114
ga,all_others,all_others,franklin,114
ga,all_others,all_others,fulton,114
ga,all_others,atlanta,fulton,124
ga,all_others,east_point,fulton,134
ga,all_others,all_others,gilmer,114
ga,all_others,all_others,glascock,113
ga,all_others,all_others,glynn,112
ga,all_others,beach_area,glynn,111
ga,all_others,all_others,gordon,114
ga,all_others,all_others,grady,113
ga,all_others,all_others,greene,113
ga,all_others,all_others,gwinnett,114
ga,all_others,all_others,habersham,114
ga,all_others,all_others,hall,114
ga,all_others,all_others,hancock,113
ga,all_others,all_others,haralson,114
ga,all_others,all_others,harris,114
ga,all_others,all_others,hart,114
ga,all_others,all_others,heard,114
ga,all_others,all_others,henry,114
ga,all_others,all_others,houston,113
ga,all_others,warner_robins,houston,133
ga,all_others,all_others,irwin,113
ga,all_others,all_others,jackson,114
ga,all_others,all_others,jasper,113
ga,all_others,all_others,jeff_davis,113
ga,all_others,all_others,jefferson,113
ga,all_others,all_others,jenkins,113
ga,all_others,all_others,johnson,113
ga,all_others,all_others,jones,113
ga,all_others,all_others,lamar,114
ga,all_others,all_others,lanier,113
ga,all_others,all_others,laurens,113
ga,all_others,all_others,lee,113
ga,all_others,all_others,liberty,112
ga,all_others,beach_area,liberty,111
ga,all_others,all_others,lincoln,113
ga,all_others,all_others,long,113
ga,all_others,all_others,lowndes,113
ga,all_others,valdosta,lowndes,133
ga,all_others,all_others,lumpkin,114
ga,all_others,all_others,mcduffie,113
ga,all_others,all_others,mcintosh,112
ga,all_others,beach_area,mcintosh,111
ga,all_others,all_others,macon,113
ga,all_others,all_others,madison,114
ga,all_others,all_others,marion,113
ga,all_others,all_others,meriwether,114
ga,all_others,all_others,miller,113
ga,all_others,all_others,mitchell,113
ga,all_others,all_others,monroe,113
ga,all_others,all_others,montgomery,113
ga,all_others,all_others,morgan,113
ga,all_others,all_others,murray,114
ga,all_others,all_others,muscogee,114
ga,all_others,columbus,muscogee,134
ga,all_others,all_others,newton,114
ga,all_others,all_others,oconee,114
ga,all_others,all_others,oglethorpe,113
ga,all_others,all_others,paulding,114
ga,all_others,all_others,peach,113
ga,all_others,all_others,pickens,114
ga,all_others,all_others,pierce,113
ga,all_others,all_others,pike,114
ga,all_others,all_others,polk,114
ga,all_others,all_others,pulaski,113
ga,all_others,all_others,putnam,113
ga,all_others,all_others,quitman,113
ga,all_others,all_others,rabun,114
ga,all_others,all_others,randolph,113
ga,all_others,all_others,richmond,113
ga,all_others,augusta,richmond,123
ga,all_others,all_others,rockdale,114
ga,all_others,all_others,schley,113
ga,all_others,all_others,screven,113
ga,all_others,all_others,seminole,113
ga,all_others,all_others,spalding,114
ga,all_others,all_others,stephens,114
ga,all_others,all_others,stewart,113
ga,all_others,all_others,sumter,113
ga,all_others,all_others,talbot,113
ga,all_others,all_others,taliaferro,113
ga,all_others,all_others,tattnall,113
ga,all_others,all_others,taylor,113
ga,all_others,all_others,telfair,113
ga,all_others,all_others,terrell,113
ga,all_others,all_others,thomas,113
ga,all_others,all_others,tift,113
ga,all_others,all_others,toombs,113
ga,all_others,all_others,towns,114
ga,all_others,all_others,treutlen,113
ga,all_others,all_others,troup,114
ga,all_others,all_others,turner,113
ga,all_others,all_others,twiggs,113
ga,all_others,all_others,union,114
ga,all_others,all_others,upson,113
ga,all_others,all_others,walker,114
ga,all_others,all_others,walton,114
ga,all_others,all_others,ware,113
ga,all_others,all_others,warren,113
ga,all_others,all_others,washington,113
ga,all_others,all_others,wayne,113
ga,all_others,all_others,webster,113
ga,all_others,all_others,wheeler,113
ga,all_others,all_others,white,114
ga,all_others,all_others,whitfield,114
ga,all_others,all_others,wilcox,113
ga,all_others,all_others,wilkes,113
ga,all_others,all_others,wilkinson,113
ga,all_others,all_others,worth,113
id,all_others,all_others,ada,112
id,all_others,boise,ada,122
id,all_others,all_others,adams,112
id,all_others,all_others,bannock,112
id,all_others,pocatello,bannock,122
id,all_others,all_others,bear_lake,112
id,all_others,all_others,benewah,112
id,all_others,all_others,bingham,112
id,all_others,all_others,blaine,112
id,all_others,all_others,boise,112
id,all_others,all_others,bonner,112
id,all_others,all_others,bonneville,112
id,all_others,idaho_falls,bonneville,122
id,all_others,all_others,boundary,112
id,all_others,all_others,butte,112
id,all_others,all_others,camas,112
id,all_others,all_others,canyon,112
id,all_others,nampa,canyon,122
id,all_others,all_others,caribou,112
id,all_others,all_others,cassia,112
id,all_others,all_others,clark,111
id,all_others,all_others,clearwater,111
id,all_others,all_others,custer,111
id,all_others,all_others,elmore,112
id,all_others,all_others,franklin,112
id,all_others,all_others,fremont,111
id,all_others,all_others,gem,112
id,all_others,all_others,gooding,112
id,all_others,all_others,idaho,111
id,all_others,all_others,jefferson,112
id,all_others,all_others,jerome,112
id,all_others,all_others,kootenai,112
id,all_others,coeur_d_alene,kootenai,122
id,all_others,all_others,latah,112
id,all_others,all_others,lemhi,111
id,all_others,all_others,lewis,112
id,all_others,all_others,lincoln,112
id,all_others,all_others,madison,111
id,all_others,all_others,minidoka,112
id,all_others,all_others,nez_perce,112
id,all_others,lewiston,nez_perce,122
id,all_others,all_others,oneida,112
id,all_others,all_others,owyhee,112
id,all_others,all_others,payette,112
id,all_others,all_others,power,112
id,all_others,all_others,shoshone,112
id,all_others,all_others,teton,111
id,all_others,all_others,twin_falls,112
id,all_others,twin_falls,twin_falls,122
id,all_others,all_others,valley,111
id,all_others,all_others,washington,112
il,all_others,all_others,adams,113
il,all_others,quincy,adams,123
il,all_others,all_others,alexander,113
il,all_others,all_others,bond,112
il,all_others,all_others,boone,112
il,all_others,all_others,brown,113
il,all_others,all_others,bureau,112
il,all_others,all_others,calhoun,113
il,all_others,all_others,carroll,112
il,all_others,all_others,cass,112
il,all_others,all_others,champaign,112
il,all_others,champaign,champaign,132
il,all_others,rantoul,champaign,122
il,all_others,urbana,champaign,122
il,all_others,all_others,christian,112
il,all_others,all_others,clark,112
il,all_others,all_others,clay,112
il,all_others,all_others,clinton,112
il,all_others,all_others,coles,112
il,all_others,charleston,coles,122
il,all_others,matoon,coles,122
il,all_others,all_others,cook,114
il,all_others,arlington_heights,cook,124
il,all_others,bellwood,cook,124
il,all_others,berwyn,cook,124
il,all_others,blue_island,cook,124
il,all_others,bridgeview,cook,124
il,all_others,broadview,cook,134
il,all_others,brookfield,cook,124
il,all_others,buffalo_grove,cook,124
il,all_others,burbank,cook,124
il,all_others,calumet_city,cook,124
il,all_others,chicago,cook,144
il,all_others,chicago_heights,cook,124
il,all_others,cicero,cook,124
il,all_others,country_club_hills,cook,124
il,all_others,des_plaines,cook,124
il,all_others,dolton,cook,124
il,all_others,elk_grove_village,cook,124
il,all_others,elmwood_park,cook,124
il,all_others,evanston,cook,124
il,all_others,evergreen_park,cook,124
il,all_others,forest_park,cook,124
il,all_others,glenview,cook,124
il,all_others,hanover_park,cook,124
il,all_others,harvey,cook,124
il,all_others,hazel_crest,cook,124
il,all_others,hickory_hills,cook,124
il,all_others,hoffman_estates,cook,124
il,all_others,homewood,cook,124
il,all_others,lagrange,cook,124
il,all_others,lansing,cook,124
il,all_others,maywood,cook,124
il,all_others,melrose_park,cook,124
il,all_others,midlothian,cook,124
il,all_others,morton_grove,cook,124
il,all_others,mount_prospect,cook,124
il,all_others,niles,cook,124
il,all_others,norridge,cook,124
il,all_others,northbrook,cook,124
il,all_others,oak_forest,cook,124
il,all_others,oak_lawn,cook,124
il,all_others,oak_park,cook,124
il,all_others,orland_park,cook,124
il,all_others,palatine,cook,124
il,all_others,palos_hills,cook,124
il,all_others,park_forest,cook,124
il,all_others,park_ridge,cook,124
il,all_others,rolling_meadows,cook,124
il,all_others,schaumburg,cook,124
il,all_others,skokie,cook,124
il,all_others,south_holland,cook,124
il,all_others,tinley_park,cook,124
il,all_others,westchester,cook,124
il,all_others,wheeling,cook,124
il,all_others,wilmette,cook,124
il,all_others,winnetka,cook,124
il,all_others,all_others,crawford,112
il,all_others,all_others,cumberland,112
il,all_others,all_others,dekalb,112
il,all_others,dekalb,dekalb,122
il,all_others,all_others,de_witt,112
il,all_others,all_others,dougas,112
il,all_others,all_others,dupage,111
il,all_others,addison,dupage,121
il,all_others,carol_stream,dupage,121
il,all_others,darien,dupage,121
il,all_others,downers_grove,dupage,121
il,all_others,elmhurst,dupage,121
il,all_others,glen_ellyn,dupage,121
il,all_others,hinsdale,dupage,121
il,all_others,lisle,dupage,121
il,all_others,lombard,dupage,121
il,all_others,naperville,dupage,121
il,all_others,oak_brook,dupage,121
il,all_others,villa_park,dupage,121
il,all_others,wheaton,dupage,121
il,all_others,all_others,edgar,112
il,all_others,all_others,edwards,112
il,all_others,all_others,effingham,112
il,all_others,effingham,effingham,122
il,all_others,all_others,fayette,112
il,all_others,all_others,ford,112
il,all_others,all_others,franklin,112
il,all_others,all_others,fulton,113
il,all_others,all_others,gallatin,113
il,all_others,all_others,greene,112
il,all_others,all_others,grundy,112
il,all_others,all_others,hamilton,112
il,all_others,all_others,hancock,113
il,all_others,all_others,hardin,113
il,all_others,all_others,henderson,113
il,all_others,all_others,henry,112
il,all_others,all_others,iroquois,112
il,all_others,all_others,jackson,113
il,all_others,carbondale,jackson,123
il,all_others,all_others,jasper,112
il,all_others,all_others,jefferson,112
il,all_others,mount_vernon,jefferson,122
il,all_others,all_others,jersey,112
il,all_others,all_others,jo_daviess,113
il,all_others,all_others,johnson,113
il,all_others,all_others,kane,111
il,all_others,aurora,kane,121
il,all_others,carpentersville,kane,121
il,all_others,elgin,kane,121
il,all_others,st_charles,kane,121
il,all_others,all_others,kankakee,112
il,all_others,kankakee,kankakee,122
il,all_others,all_others,kendall,112
il,all_others,all_others,knox,112
il,all_others,galesburg,knox,122
il,all_others,all_others,lake,111
il,all_others,deerfield,lake,121
il,all_others,highland_park,lake,121
il,all_others,lake_forest,lake,121
il,all_others,libertyville,lake,121
il,all_others,mundelein,lake,121
il,all_others,waukegan,lake,121
il,all_others,all_others,la_salle,112
il,all_others,all_others,lawrence,112
il,all_others,all_others,lee,112
il,all_others,dixon,lee,122
il,all_others,all_others,livingston,112
il,all_others,all_others,logan,112
il,all_others,all_others,mcdonough,113
il,all_others,macomb,mcdonough,123
il,all_others,all_others,mchenry,112
il,all_others,all_others,mclean,112
il,all_others,bloomington,mclean,122
il,all_others,normal,mclean,122
il,all_others,all_others,mason,112
il,all_others,decatur,mason,122
il,all_others,all_others,macoupin,112
il,all_others,all_others,madison,112
il,all_others,alton,madison,122
il,all_others,granite_city,madison,122
il,all_others,all_others,marion,112
il,all_others,all_others,marshall,112
il,all_others,all_others,mason,112
il,all_others,all_others,massac,113
il,all_others,all_others,menard,112
il,all_others,all_others,mercer,112
il,all_others,all_others,monroe,112
il,all_others,all_others,montgomery,112
il,all_others,jacksonville,montgomery,122
il,all_others,all_others,moultrie,112
il,all_others,all_others,ogle,112
il,all_others,all_others,peoria,112
il,all_others,peoria,peoria,122
il,all_others,all_others,perry,112
il,all_others,all_others,piatt,112
il,all_others,all_others,pike,113
il,all_others,all_others,pope,113
il,all_others,all_others,pulaski,113
il,all_others,all_others,putnam,112
