state,territory_code,fire_susceptibility,rate
ny,141,high,0.245
ny,142,low,0.148
ny,142,average,0.207
ny,142,high,0.245
ny,143,low,0.148
ny,143,average,0.207
ny,143,high,0.245
ny,144,low,0.148
ny,144,average,0.207
ny,144,high,0.245
ny,151,low,0.211
ny,151,average,0.295
ny,151,high,0.350
ny,152,low,0.211
ny,152,average,0.295
ny,152,high,0.350
ny,153,low,0.211
ny,153,average,0.295
ny,153,high,0.350
ny,154,low,0.211
ny,154,average,0.295
ny,154,high,0.350
ny,155,low,0.211
ny,155,average,0.295
ny,155,high,0.350
ny,156,low,0.211
ny,156,average,0.295
ny,156,high,0.350
nc,111,low,0.185
nc,111,average,0.258
nc,111,high,0.307
nc,112,low,0.185
nc,112,average,0.258
nc,112,high,0.307
nc,113,low,0.185
nc,113,average,0.258
nc,113,high,0.307
nc,114,low,0.185
nc,114,average,0.258
nc,114,high,0.307
nc,115,low,0.185
nc,115,average,0.258
nc,115,high,0.307
nc,116,low,0.185
nc,116,average,0.258
nc,116,high,0.307
nc,121,low,0.109
nc,121,average,0.152
nc,121,high,0.180
nc,124,low,0.109
nc,124,average,0.152
nc,124,high,0.180
nc,132,low,0.154
nc,132,average,0.214
nc,132,high,0.254
nc,133,low,0.154
nc,133,average,0.214
nc,133,high,0.254
nc,134,low,0.154
nc,134,average,0.214
nc,134,high,0.254
nc,135,low,0.154
nc,135,average,0.214
nc,135,high,0.254
nd,111,low,0.200
nd,111,average,0.279
nd,111,high,0.331
nd,112,low,0.200
nd,112,average,0.279
nd,112,high,0.331
nd,113,low,0.200
nd,113,average,0.279
nd,113,high,0.331
nd,121,low,0.159
nd,121,average,0.221
nd,121,high,0.263
nd,122,low,0.159
nd,122,average,0.221
nd,122,high,0.263
nd,123,low,0.159
nd,123,average,0.221
nd,123,high,0.263
nd,132,low,0.164
nd,132,average,0.228
nd,132,high,0.272
nd,133,low,0.164
nd,133,average,0.228
nd,133,high,0.272
oh,111,low,0.103
oh,111,average,0.142
oh,111,high,0.169
oh,112,low,0.103
oh,112,average,0.142
oh,112,high,0.169
oh,113,low,0.103
oh,113,average,0.142
oh,113,high,0.169
oh,123,low,0.075
oh,123,average,0.102
oh,123,high,0.121
oh,132,low,0.069
oh,132,average,0.094
oh,132,high,0.111
oh,143,low,0.160
oh,143,average,0.223
oh,143,high,0.265
oh,152,low,0.100
oh,152,average,0.138
oh,152,high,0.165
oh,161,low,0.083
oh,161,average,0.114
oh,161,high,0.135
oh,171,low,0.121
oh,171,average,0.169
oh,171,high,0.200
oh,181,low,0.094
oh,181,average,0.130
oh,181,high,0.155
oh,182,low,0.094
oh,182,average,0.130
oh,182,high,0.155
