state,territory_code,construction_type,rate
mo,113,modified_fire_resistive,0.063
mo,113,fire_resistive,0.063
mo,133,frame,0.235
mo,133,masonry_joisted,0.235
mo,133,non_combustible,0.235
mo,133,masonry_non_combustible,0.078
mo,133,modified_fire_resistive,0.063
mo,133,fire_resistive,0.063
mt,111,frame,0.075
mt,111,masonry_joisted,0.075
mt,111,non_combustible,0.075
mt,111,masonry_non_combustible,0.048
mt,111,modified_fire_resistive,0.032
mt,111,fire_resistive,0.032
mt,112,frame,0.135
mt,112,masonry_joisted,0.135
mt,112,non_combustible,0.135
mt,112,masonry_non_combustible,0.053
mt,112,modified_fire_resistive,0.033
mt,112,fire_resistive,0.033
mt,121,frame,0.075
mt,121,masonry_joisted,0.075
mt,121,non_combustible,0.075
mt,121,masonry_non_combustible,0.048
mt,121,modified_fire_resistive,0.032
mt,121,fire_resistive,0.032
mt,131,frame,0.075
mt,131,masonry_joisted,0.075
mt,131,non_combustible,0.075
mt,131,masonry_non_combustible,0.048
mt,131,modified_fire_resistive,0.032
mt,131,fire_resistive,0.032
ne,111,frame,0.226
ne,111,masonry_joisted,0.226
ne,111,non_combustible,0.226
ne,111,masonry_non_combustible,0.042
ne,111,modified_fire_resistive,0.034
ne,111,fire_resistive,0.034
ne,112,frame,0.218
ne,112,masonry_joisted,0.218
ne,112,non_combustible,0.218
ne,112,masonry_non_combustible,0.041
ne,112,modified_fire_resistive,0.033
ne,112,fire_resistive,0.033
ne,113,frame,0.249
ne,113,masonry_joisted,0.249
ne,113,non_combustible,0.249
ne,113,masonry_non_combustible,0.047
ne,113,modified_fire_resistive,0.037
ne,113,fire_resistive,0.037
ne,114,frame,0.249
ne,114,masonry_joisted,0.249
ne,114,non_combustible,0.249
ne,114,masonry_non_combustible,0.047
ne,114,modified_fire_resistive,0.037
ne,114,fire_resistive,0.037
ne,122,frame,0.218
ne,122,masonry_joisted,0.218
ne,122,non_combustible,0.218
ne,122,masonry_non_combustible,0.041
ne,122,modified_fire_resistive,0.033
ne,122,fire_resistive,0.033
ne,131,frame,0.226
ne,131,masonry_joisted,0.226
ne,131,non_combustible,0.226
ne,131,masonry_non_combustible,0.042
ne,131,modified_fire_resistive,0.034
ne,131,fire_resistive,0.034
nm,111,frame,0.064
nm,111,masonry_joisted,0.064
nm,111,non_combustible,0.064
nm,111,masonry_non_combustible,0.011
nm,111,modified_fire_resistive,0.008
nm,111,fire_resistive,0.008
nm,121,frame,0.064
nm,121,masonry_joisted,0.064
nm,121,non_combustible,0.064
nm,121,masonry_non_combustible,0.011
nm,121,modified_fire_resistive,0.008
nm,121,fire_resistive,0.008
nm,112,frame,0.064
nm,112,masonry_joisted,0.064
nm,112,non_combustible,0.064
nm,112,masonry_non_combustible,0.011
nm,112,modified_fire_resistive,0.008
nm,112,fire_resistive,0.008
nm,122,frame,0.064
nm,122,masonry_joisted,0.064
nm,122,non_combustible,0.064
nm,122,masonry_non_combustible,0.011
nm,122,modified_fire_resistive,0.008
nm,122,fire_resistive,0.008
nm,113,frame,0.047
nm,113,masonry_joisted,0.047
nm,113,non_combustible,0.047
nm,113,masonry_non_combustible,0.01
nm,113,modified_fire_resistive,0.007
nm,113,fire_resistive,0.007
nm,123,frame,0.047
nm,123,masonry_joisted,0.047
nm,123,non_combustible,0.047
nm,123,masonry_non_combustible,0.01
nm,123,modified_fire_resistive,0.007
nm,123,fire_resistive,0.007
ny,111,frame,0.106
ny,111,masonry_joisted,0.106
ny,111,non_combustible,0.106
ny,111,masonry_non_combustible,0.042
ny,111,modified_fire_resistive,0.033
ny,111,fire_resistive,0.033
ny,141,frame,0.106
ny,141,masonry_joisted,0.106
ny,141,non_combustible,0.106
ny,141,masonry_non_combustible,0.042
ny,141,modified_fire_resistive,0.033
ny,141,fire_resistive,0.033
ny,151,frame,0.106
ny,151,masonry_joisted,0.106
ny,151,non_combustible,0.106
ny,151,masonry_non_combustible,0.042
ny,151,modified_fire_resistive,0.033
ny,151,fire_resistive,0.033
ny,112,frame,0.105
ny,112,masonry_joisted,0.105
ny,112,non_combustible,0.105
ny,112,masonry_non_combustible,0.042
ny,112,modified_fire_resistive,0.008
ny,112,fire_resistive,0.032
ny,142,frame,0.105
ny,142,masonry_joisted,0.105
ny,142,non_combustible,0.105
ny,142,masonry_non_combustible,0.042
ny,142,modified_fire_resistive,0.008
ny,142,fire_resistive,0.032
ny,152,frame,0.105
ny,152,masonry_joisted,0.105
ny,152,non_combustible,0.105
ny,152,masonry_non_combustible,0.042
ny,152,modified_fire_resistive,0.008
ny,152,fire_resistive,0.032
ny,113,frame,0.104
ny,113,masonry_joisted,0.104
ny,113,non_combustible,0.104
ny,113,masonry_non_combustible,0.041
ny,113,modified_fire_resistive,0.032
ny,113,fire_resistive,0.032
ny,143,frame,0.104
ny,143,masonry_joisted,0.104
ny,143,non_combustible,0.104
ny,143,masonry_non_combustible,0.041
ny,143,modified_fire_resistive,0.032
ny,143,fire_resistive,0.032
ny,153,frame,0.104
ny,153,masonry_joisted,0.104
ny,153,non_combustible,0.104
ny,153,masonry_non_combustible,0.041
ny,153,modified_fire_resistive,0.032
ny,153,fire_resistive,0.032
ny,114,frame,0.104
ny,114,masonry_joisted,0.104
ny,114,non_combustible,0.104
ny,114,masonry_non_combustible,0.041
ny,114,modified_fire_resistive,0.032
ny,114,fire_resistive,0.032
ny,144,frame,0.104
ny,144,masonry_joisted,0.104
ny,144,non_combustible,0.104
ny,144,masonry_non_combustible,0.041
ny,144,modified_fire_resistive,0.032
ny,144,fire_resistive,0.032
ny,154,frame,0.104
ny,154,masonry_joisted,0.104
ny,154,non_combustible,0.104
ny,154,masonry_non_combustible,0.041
ny,154,modified_fire_resistive,0.032
ny,154,fire_resistive,0.032
ny,115,frame,0.101
ny,115,masonry_joisted,0.101
ny,115,non_combustible,0.101
ny,115,masonry_non_combustible,0.04
ny,115,modified_fire_resistive,0.031
ny,115,fire_resistive,0.031
ny,155,frame,0.101
ny,155,masonry_joisted,0.101
ny,155,non_combustible,0.101
ny,155,masonry_non_combustible,0.04
ny,155,modified_fire_resistive,0.031
ny,155,fire_resistive,0.031
ny,116,frame,0.096
ny,116,masonry_joisted,0.096
ny,116,non_combustible,0.096
ny,116,masonry_non_combustible,0.038
ny,116,modified_fire_resistive,0.03
ny,116,fire_resistive,0.03
ny,126,frame,0.096
ny,126,masonry_joisted,0.096
ny,126,non_combustible,0.096
ny,126,masonry_non_combustible,0.038
ny,126,modified_fire_resistive,0.03
ny,126,fire_resistive,0.03
ny,136,frame,0.096
ny,136,masonry_joisted,0.096
ny,136,non_combustible,0.096
ny,136,masonry_non_combustible,0.038
ny,136,modified_fire_resistive,0.03
ny,136,fire_resistive,0.03
ny,156,frame,0.096
ny,156,masonry_joisted,0.096
ny,156,non_combustible,0.096
ny,156,masonry_non_combustible,0.038
ny,156,modified_fire_resistive,0.03
ny,156,fire_resistive,0.03
nc,111,frame,0.161
nc,111,masonry_joisted,0.161
nc,111,non_combustible,0.161
nc,111,masonry_non_combustible,0.064
nc,111,modified_fire_resistive,0.052
nc,111,fire_resistive,0.052
nc,121,frame,0.161
nc,121,masonry_joisted,0.161
nc,121,non_combustible,0.161
nc,121,masonry_non_combustible,0.064
nc,121,modified_fire_resistive,0.052
nc,121,fire_resistive,0.052
nc,112,frame,0.109
nc,112,masonry_joisted,0.109
nc,112,non_combustible,0.109
nc,112,masonry_non_combustible,0.043
nc,112,modified_fire_resistive,0.034
nc,112,fire_resistive,0.034
nc,132,frame,0.109
nc,132,masonry_joisted,0.109
