state,construction_type,territory_code,rate
california,non_combustible,110,0.833
california,masonry_non_combustible,110,0.563
california,modified_fire_resistive,110,0.388
california,fire_resistive,110,0.388
california,frame,120,1.342
california,masonry_joisted,120,1
california,non_combustible,120,0.833
california,masonry_non_combustible,120,0.563
california,modified_fire_resistive,120,0.388
california,fire_resistive,120,0.388
california,frame,130,1.342
california,masonry_joisted,130,1
california,non_combustible,130,0.833
california,masonry_non_combustible,130,0.563
california,modified_fire_resistive,130,0.388
california,fire_resistive,130,0.388
california,frame,140,1.342
california,masonry_joisted,140,1
california,non_combustible,140,0.833
california,masonry_non_combustible,140,0.563
california,modified_fire_resistive,140,0.388
california,fire_resistive,140,0.388
california,frame,150,1.342
california,masonry_joisted,150,1
california,non_combustible,150,0.833
california,masonry_non_combustible,150,0.563
california,modified_fire_resistive,150,0.388
california,fire_resistive,150,0.388
california,frame,160,1.342
california,masonry_joisted,160,1
california,non_combustible,160,0.833
california,masonry_non_combustible,160,0.563
california,modified_fire_resistive,160,0.388
california,fire_resistive,160,0.388
california,frame,170,1.342
california,masonry_joisted,170,1
california,non_combustible,170,0.833
california,masonry_non_combustible,170,0.563
california,modified_fire_resistive,170,0.388
california,fire_resistive,170,0.388
california,frame,180,1.342
california,masonry_joisted,180,1
california,non_combustible,180,0.833
california,masonry_non_combustible,180,0.563
california,modified_fire_resistive,180,0.388
california,fire_resistive,180,0.388
california,frame,190,1.342
california,masonry_joisted,190,1
california,non_combustible,190,0.833
california,masonry_non_combustible,190,0.563
california,modified_fire_resistive,190,0.388
california,fire_resistive,190,0.388
connecticut,frame,111,1.3
connecticut,masonry_joisted,111,1
connecticut,non_combustible,111,0.563
connecticut,masonry_non_combustible,111,0.607
connecticut,modified_fire_resistive,111,0.435
connecticut,fire_resistive,111,0.435
connecticut,frame,112,1.3
connecticut,masonry_joisted,112,1
connecticut,non_combustible,112,0.563
connecticut,masonry_non_combustible,112,0.607
connecticut,modified_fire_resistive,112,0.435
connecticut,fire_resistive,112,0.435
connecticut,frame,113,1.3
connecticut,masonry_joisted,113,1
connecticut,non_combustible,113,0.563
connecticut,masonry_non_combustible,113,0.607
connecticut,modified_fire_resistive,113,0.435
connecticut,fire_resistive,113,0.435
connecticut,frame,114,1.3
connecticut,masonry_joisted,114,1
connecticut,non_combustible,114,0.563
connecticut,masonry_non_combustible,114,0.607
connecticut,modified_fire_resistive,114,0.435
connecticut,fire_resistive,114,0.435
connecticut,frame,115,1.3
connecticut,masonry_joisted,115,1
connecticut,non_combustible,115,0.563
connecticut,masonry_non_combustible,115,0.607
connecticut,modified_fire_resistive,115,0.435
connecticut,fire_resistive,115,0.435
connecticut,frame,121,1.3
connecticut,masonry_joisted,121,1
connecticut,non_combustible,121,0.563
connecticut,masonry_non_combustible,121,0.607
connecticut,modified_fire_resistive,121,0.435
connecticut,fire_resistive,121,0.435
connecticut,frame,122,1.3
connecticut,masonry_joisted,122,1
connecticut,non_combustible,122,0.563
connecticut,masonry_non_combustible,122,0.607
connecticut,modified_fire_resistive,122,0.435
connecticut,fire_resistive,122,0.435
connecticut,frame,123,1.3
connecticut,masonry_joisted,123,1
connecticut,non_combustible,123,0.563
connecticut,masonry_non_combustible,123,0.607
connecticut,modified_fire_resistive,123,0.435
connecticut,fire_resistive,123,0.435
connecticut,frame,124,1.3
connecticut,masonry_joisted,124,1
connecticut,non_combustible,124,0.563
connecticut,masonry_non_combustible,124,0.607
connecticut,modified_fire_resistive,124,0.435
connecticut,fire_resistive,124,0.435
connecticut,frame,125,1.3
connecticut,masonry_joisted,125,1
connecticut,non_combustible,125,0.563
connecticut,masonry_non_combustible,125,0.607
connecticut,modified_fire_resistive,125,0.435
connecticut,fire_resistive,125,0.435
connecticut,frame,132,1.3
connecticut,masonry_joisted,132,1
connecticut,non_combustible,132,0.563
connecticut,masonry_non_combustible,132,0.607
connecticut,modified_fire_resistive,132,0.435
connecticut,fire_resistive,132,0.435
connecticut,frame,134,1.3
connecticut,masonry_joisted,134,1
connecticut,non_combustible,134,0.563
connecticut,masonry_non_combustible,134,0.607
connecticut,modified_fire_resistive,134,0.435
connecticut,fire_resistive,134,0.435
arizona,frame,110,1.3
arizona,masonry_joisted,110,1
arizona,non_combustible,110,0.583
arizona,masonry_non_combustible,110,0.607
arizona,modified_fire_resistive,110,0.435
arizona,fire_resistive,110,0.435
arizona,frame,120,1.3
arizona,masonry_joisted,120,1
arizona,non_combustible,120,0.583
arizona,masonry_non_combustible,120,0.607
arizona,modified_fire_resistive,120,0.435
